# {'solver': 'saga', 'n_jobs': -1, 'class_weight': 'balanced'},main_metric=mcc
,penalty,C,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0,l1,0.7798845622629237,0.036787647266239704,0.026784856501162874,0.006818421299322098,0.8295337426365136,0.8013136288998358,0.7924528301886793,0.7661691542288557,0.8206039076376554,0.6036367349156552,0.8781744471411332,0.8485528768672075
1,l2,1.585525570108635,0.028247025088849863,0.01268756834820912,0.020788980369080643,0.9633955073954326,0.8029556650246306,0.7941680960548885,0.7678275290215588,0.822380106571936,0.6069303756630884,0.8713787913711983,0.8398711435513411
2,l1,3.7009536934228375,0.03472125081586568,0.03372456994957292,0.008927272967595103,0.8277855318479954,0.8029556650246306,0.7938144329896908,0.7687188019966722,0.8206039076376554,0.606704499427828,0.873136008026792,0.8441952354136869
3,l2,2.4901496458969357,0.04716107495187519,0.004765273578403357,0.01255791872931383,0.8126484791525196,0.8078817733990148,0.8010204081632653,0.768352365415987,0.8365896980461812,0.6180385361772348,0.874483749813567,0.8509043082857
4,l1,1.1421198689998966,0.03635058107667368,0.001558519308121509,0.042510136564845896,0.8888039492045292,0.7996715927750411,0.7900172117039587,0.7662771285475793,0.8152753108348135,0.5998972996996841,0.8643689070275107,0.8184123623765891
5,l1,2.876547017946257,0.04236243216742223,0.018337482544778138,0.02175372821377231,0.9151659928252397,0.7963875205254516,0.7858376511226253,0.7647058823529411,0.8081705150976909,0.5928886035218777,0.8702995132401394,0.838367828106141
6,l2,2.462064403002308,0.019177795287152324,0.0025045261066703856,0.04322461086936389,0.8019396725258994,0.7947454844006568,0.7870528109028961,0.7561374795417348,0.8206039076376554,0.5914317783082181,0.864295689666861,0.8190651080220991
7,l1,2.444968804669487,0.04977337526584912,0.03246144397123974,0.04253911983552501,0.8683956156862633,0.7939244663382594,0.7834339948231234,0.761744966442953,0.8063943161634103,0.5880500776553209,0.8610931080769596,0.8126150009642765
8,l1,1.531980934862941,0.043349941694757865,0.04576552243459709,0.005355043882044453,0.8467439177971876,0.7922824302134647,0.7813310285220397,0.7609427609427609,0.8028419182948491,0.5845511737741734,0.8722221468957196,0.8402366409619002
9,l1,0.9112379563149485,0.01673000803969966,0.04932249165154139,0.022430708491278043,0.8377362436670611,0.7947454844006568,0.7874149659863945,0.7553017944535073,0.822380106571936,0.5916901206849069,0.8729190676989411,0.8405493055558343
10,l2,3.3966395674285357,0.04891393354112572,0.013962462382499383,0.0025567587818971786,0.8172685838688922,0.7889983579638752,0.7755458515283843,0.7628865979381443,0.7886323268206039,0.5768614755507547,0.8580044201591802,0.8252383884540476
11,l2,1.818156345577156,0.04832436085428483,0.0012957649892984925,0.01738440451578567,0.8236061762223363,0.7931034482758621,0.7808695652173914,0.7649063032367973,0.7975133214920072,0.5855320686476809,0.8678263935026371,0.836643731823952
12,l2,3.6249226198101665,0.04500305899367861,0.00610966655995382,0.01182759170896093,0.8163168118440006,0.8029556650246306,0.7948717948717949,0.7660626029654036,0.8259325044404974,0.6074017315490219,0.8709828752728702,0.8425929058264062
13,l2,2.9491873915010896,0.04998265579390647,0.008253947215132597,0.010292558986696057,0.8358103982795531,0.8070607553366174,0.7999999999999999,0.7679738562091504,0.8348134991119005,0.6162615573128817,0.8723929874039021,0.8438901736968129
14,l2,3.639839431278183,0.048528565391170814,0.012025838192304086,0.012805445488307851,0.803119790412558,0.8095238095238095,0.8020477815699658,0.7717569786535303,0.8348134991119005,0.6208211483304269,0.8737325939283827,0.8500070777919246
15,l2,3.170997073167923,0.008637835026274777,0.01223585228428439,0.01150641034722314,0.8092847573653599,0.7955665024630542,0.7866323907455013,0.7599337748344371,0.8152753108348135,0.592224599458297,0.8725556926497905,0.8459539712527022
16,l2,3.6490241385479614,0.04807645712197889,0.009015348351480941,0.00856896587750777,0.83262752146165,0.7988505747126436,0.7904191616766468,0.7623762376237624,0.8206039076376554,0.5990476379702909,0.8714004854039834,0.8448571113842097
17,l2,3.1330384477422686,0.04655839774139843,0.00688887830871623,0.011893043737363848,0.811438236836578,0.8070607553366174,0.7993168232280102,0.7697368421052632,0.8312611012433393,0.6157573727835824,0.8710804984204032,0.8425139668029589
18,l2,2.7789173014359183,0.04757810122643592,0.004196708431247787,0.009815294005186033,0.8026534795371936,0.8054187192118226,0.7986406117247239,0.7654723127035831,0.8348134991119005,0.6132300361442568,0.8733149837972692,0.8461184589005396
19,l2,2.3591760374002355,0.04964181459454325,0.01131892956239757,0.012510890149404876,0.8063988930240095,0.8078817733990148,0.8010204081632653,0.768352365415987,0.8365896980461812,0.6180385361772348,0.8743481621086601,0.8500868966309063
