,n_neighbors,algorithm,leaf_size,p,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score
0,12,ball_tree,20,1,0.03473925414442421,0.049219752038388874,0.017252268027541682,0.8305347763257643,0.7660098522167488,0.7124117053481333,0.8247663551401869,0.6269982238010657,0.5352153338860688,0.8617154556424824
1,12,brute,20,3,0.007922906993935375,0.01361397426078417,0.023875142651141462,0.8353662433946424,0.729064039408867,0.6443965517241379,0.8191780821917808,0.5310834813499112,0.4683230727556129,0.8407644434802652
2,12,auto,10,3,0.0456584523755515,0.016815611555559815,0.012683241064672298,0.9703865904896882,0.7151067323481116,0.6122905027932961,0.8253012048192772,0.4866785079928952,0.44577184747374615,0.8370439168576194
3,10,kd_tree,20,1,0.0067690440097579255,0.021623158608866835,0.025013963122015086,0.9426993328191198,0.770935960591133,0.7234886025768086,0.8183856502242153,0.6483126110124334,0.5429591974057395,0.8613046248966143
4,12,ball_tree,50,3,0.038197648274340926,0.01582944573649104,0.0058195437500748026,0.9633549472927105,0.69376026272578,0.5717566016073479,0.8084415584415584,0.4422735346358792,0.40398448878234083,0.828924925087793
5,9,kd_tree,30,1,0.00678178764514812,0.018587316190750783,0.001449623909376835,0.814651559303801,0.7668308702791461,0.7204724409448819,0.8079470198675497,0.650088809946714,0.5335899041206962,0.8520900844711401
6,12,brute,50,3,0.022665902943297477,0.0005600979536412866,0.012574068680524072,0.9664937628943673,0.7093596059113301,0.6040268456375839,0.8157099697885196,0.47957371225577267,0.43309736689952216,0.8381421772673654
7,12,auto,30,1,0.017220496623473417,0.03151100780243083,0.0051858652452420224,0.9916062482267901,0.7487684729064039,0.6890243902439024,0.8052256532066508,0.6021314387211367,0.4999987650115086,0.8527124320366629
8,11,kd_tree,10,1,0.007748089020072481,0.02532908056314598,0.04903125408405364,0.8590407104622754,0.7717569786535303,0.7458866544789763,0.768361581920904,0.7246891651865008,0.539815030333918,0.8560709394872072
9,10,auto,30,1,0.04790706311107133,0.04162996227698278,0.010352372984148036,0.8668677126247583,0.7602627257799671,0.6995884773662552,0.8312958435207825,0.6039076376554174,0.5263322223517016,0.8529944544628694
