,C,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc
0,3.6833727971593038,0.015413577110894115,0.023046768293621372,0.029348737318091605,0.9382226444394268,0.8160919540229885,0.8045375218150087,0.79073756432247,0.8188277087033747,0.6313367062095556
1,2.1313266713815113,0.0019813152515223867,0.030561419110477436,0.04149797703856739,0.8191962240447634,0.8103448275862069,0.8006902502157032,0.7785234899328859,0.8241563055062167,0.6209923928819832
2,3.7165576063642147,0.00027130983048503373,0.037321099565158715,0.021443334780934412,0.8025220654342707,0.8316912972085386,0.8218940052128584,0.8044217687074829,0.8401420959147424,0.6630653990727983
3,1.7688404933855122,0.024913724705887073,0.04991775396948024,0.04389810864606241,0.8403336857215201,0.8078817733990148,0.7986230636833046,0.7746243739565943,0.8241563055062167,0.6163669246525572
4,3.404591083239475,0.02356546152958571,0.04733984998937291,0.037189232066218506,0.8659170416931639,0.8160919540229885,0.8065630397236614,0.7848739495798319,0.8294849023090586,0.6324208214415226
5,2.9430185706811,0.0446552822880032,0.039192042893172234,0.015223745127839453,0.8477749454946284,0.825944170771757,0.8159722222222221,0.797962648556876,0.8348134991119005,0.6516197555453892
6,0.8516098352164397,0.02882212804476998,0.03274994039372614,0.017163307292905425,0.84342949056208,0.812807881773399,0.8041237113402062,0.778702163061564,0.8312611012433393,0.6264670899963454
7,2.0527802499134395,0.042053101441640955,0.020456236340171862,0.007534839600925249,0.958791069091609,0.825944170771757,0.8162911611785095,0.7969543147208121,0.8365896980461812,0.6518018070082883
8,2.0493257386942827,0.005022701256516306,0.043367650739073456,0.026966044519487135,0.862234156581089,0.8136288998357963,0.805484147386461,0.7781456953642384,0.8348134991119005,0.6284541103643847
9,0.16886040000902136,0.019511876029045142,0.04080090056195447,0.013385006888049746,0.9928821610005354,0.7922824302134647,0.7835757057313943,0.7557755775577558,0.8134991119005328,0.5858735545525872
10,2.769739830814065,0.017706039019004624,0.003528021962628059,0.014199848566061404,0.9773065555268239,0.8234811165845649,0.8125544899738448,0.797945205479452,0.827708703374778,0.646250880568464
11,0.5415801745129364,0.03332050515783166,0.010415192498154938,0.017820670241911432,0.9416294374097998,0.80623973727422,0.796551724137931,0.7738693467336684,0.8206039076376554,0.6128605621258784
12,1.1706900866011247,0.019422799379218283,0.022786445559045354,0.033915899186633396,0.8850234083648361,0.8087027914614121,0.8017021276595745,0.7696078431372549,0.8365896980461812,0.6195550781673077
13,1.6649848830570542,0.027548391760098788,0.005930089386293432,0.016909467773285013,0.8918993176599348,0.8210180623973727,0.812392426850258,0.7879799666110183,0.8383658969804618,0.6427183245771542
14,1.7038757071466597,0.04914008407953903,0.001592950523495568,0.02528642511806633,0.8902806052214179,0.8136288998357963,0.8044788975021533,0.7809364548494984,0.8294849023090586,0.6277890393719597
15,1.4348695098618232,0.048337361951596054,0.0426729708065881,0.0014708804738524375,0.9565651917266791,0.8308702791461412,0.8221070811744386,0.8,0.8454706927175843,0.6620699848812562
16,3.750344760342493,0.0007202760878859628,0.037249605907200646,0.023929219758073033,0.9064498024826332,0.8275862068965517,0.817391304347826,0.8006814310051107,0.8348134991119005,0.6547403405681914
17,3.688657545009296,0.04892247708808573,0.010410528733956755,0.03899168648966298,0.9580942024434372,0.812807881773399,0.8013937282229965,0.7863247863247863,0.8170515097690941,0.6249083343046489
18,2.908744521755206,0.03521570040496186,0.04982772976185064,0.04143818363012339,0.9326682484882248,0.8111658456486043,0.8003472222222222,0.7826825127334465,0.8188277087033747,0.6219624302877068
19,1.754126238438807,0.02184100676121134,0.04729327029564943,0.010135690993555154,0.9668092784163734,0.8292282430213465,0.8203799654576858,0.7983193277310925,0.8436944937833037,0.6587756333879524
20,3.6411822710483848,0.014078168947322597,0.0016051557598725844,0.004335934721410996,0.8362705004742383,0.8218390804597702,0.8121212121212121,0.7922297297297297,0.8330373001776199,0.6436585478257418
21,1.4298878234643289,0.02228843628247455,0.01789229148265944,0.044661483234097014,0.9930755086554924,0.8136288998357963,0.8041415012942191,0.7818791946308725,0.827708703374778,0.6275808559273156
22,2.052209531074136,0.03749319791027068,0.002187612130187583,0.006247193396924268,0.8906560840912884,0.8251231527093597,0.8152645273200346,0.7966101694915254,0.8348134991119005,0.6500623631668133
23,2.1821778323673744,0.02626457837443468,0.022590456568269766,0.032713289291082,0.9560691316018206,0.8169129720853858,0.8075927523727351,0.785234899328859,0.8312611012433393,0.634169318972648
24,2.468920979145152,0.024203169651123006,0.019300900458919714,0.011674376096596875,0.8759554683022018,0.8234811165845649,0.8138528138528138,0.793918918918919,0.8348134991119005,0.6469533126515921
