# {'verbose': 0, 'auto_class_weights': 'Balanced'},main_metric=f1
,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0,0.045410421633614,0.04600743973095062,0.038986457550611274,0.8467218843870734,0.8629160063391442,0.6574257425742575,0.6194029850746269,0.70042194092827,0.5738320012097773,0.8911392405063291,0.7438845902991116
1,0.04279506446473638,0.03179807400666476,0.01303870520272787,0.8678399654300898,0.8526148969889065,0.6423076923076924,0.5901060070671378,0.7046413502109705,0.5538405091024016,0.897845013893177,0.7565733583425703
2,0.02883173029118687,0.025939656558141056,0.03455585592245766,0.9040256233382966,0.8573692551505546,0.6525096525096524,0.6014234875444839,0.7130801687763713,0.5668264305491395,0.8951569414428322,0.7494199591791121
3,0.017320250921225487,0.009756367123560402,0.04161027592006375,0.9032478362583743,0.866877971473851,0.6653386454183267,0.630188679245283,0.7046413502109705,0.5839900023509296,0.895823813934342,0.7586069207352362
4,0.0009362040525720762,0.034976539450878426,0.007706636012829878,0.8621219171701652,0.8637083993660856,0.6679536679536678,0.6156583629893239,0.729957805907173,0.5863336593068658,0.9044437583616343,0.7634516152880446
5,0.023876800963909938,0.039248208307049635,0.046868315285567015,0.9083917073441655,0.8645007923930269,0.6627218934911242,0.6222222222222222,0.7088607594936709,0.5803155123707953,0.8928928681691881,0.7530306479910179
6,0.022570837620002913,0.040564108410582334,0.03962841353094703,0.8076539411668411,0.8629160063391442,0.6614481409001958,0.6167883211678832,0.7130801687763713,0.5784534495251322,0.8923165586086241,0.7519641142655312
7,0.03366396585394612,0.017293735966479387,0.04341123619732218,0.9037434693171433,0.8581616481774961,0.6441351888667992,0.6090225563909775,0.6835443037974683,0.5573768912399448,0.8882823916846763,0.7467160337501118
8,0.003005304981860147,0.0036655736577036364,0.022134569306586187,0.9348218176306348,0.8629160063391442,0.6640776699029125,0.6151079136690647,0.7215189873417721,0.581556525429841,0.900397241947103,0.7616683530545351
9,0.04220614433921935,0.025678031122073324,0.04974103100385858,0.8431675960258407,0.8589540412044374,0.65234375,0.6072727272727273,0.7046413502109705,0.566940787836776,0.8912174539466915,0.7506479683365439
10,0.0350867855369937,0.03617599304863662,0.021660664972202426,0.9326083184057256,0.8652931854199684,0.6692607003891051,0.6209386281588448,0.7257383966244726,0.5881319804876627,0.8987012452403005,0.7609324982135532
11,0.0030649376418188552,0.047087703727292325,0.029387840058344734,0.8279103557413608,0.8684627575277337,0.6706349206349206,0.6329588014981273,0.7130801687763713,0.5904526648197038,0.8981414016671813,0.7598546003348088
12,0.0277573830690722,0.039832920309210304,0.043030773083256896,0.954867302013072,0.8605388272583201,0.649402390438247,0.6150943396226415,0.6877637130801688,0.5640643419418191,0.8886487599053206,0.744983007555157
13,0.028749220873164637,0.04341568242481573,0.02108280975625491,0.847599466506558,0.8652931854199684,0.66796875,0.6218181818181818,0.7215189873417721,0.5865996472670514,0.8987341772151898,0.7526319289470773
14,0.023179668390543695,0.03212056552525066,0.014251629469892705,0.9875216908954145,0.8597464342313788,0.6615678776290631,0.6048951048951049,0.729957805907173,0.5781218983628978,0.897198723885973,0.7537857771923431
15,0.049471763153731065,0.023669842207312157,0.037108799251603444,0.9900809689863617,0.8652931854199684,0.66,0.6273764258555133,0.6962025316455697,0.5775047905538883,0.897845013893177,0.7527567112758848
16,0.04640387994638732,0.016957430786954285,0.034793607970196885,0.9954595685786777,0.8700475435816165,0.6746031746031746,0.6367041198501873,0.7172995780590717,0.5954203730244416,0.8976927035093136,0.7532709342325025
17,0.026833175242358225,0.047473189226455215,0.020181428529837446,0.9596577888651132,0.8629160063391442,0.6640776699029125,0.6151079136690647,0.7215189873417721,0.581556525429841,0.8971369764330556,0.7543652688394646
18,0.04599361281461331,0.009946444778893733,0.03117065201986995,0.9914726043290983,0.8660855784469097,0.6666666666666667,0.6259259259259259,0.7130801687763713,0.5852630092741227,0.8989729340331378,0.7571062005069847
19,0.04683263101814723,0.034487899564281714,0.014049091463252575,0.9867518364655463,0.8645007923930269,0.6705202312138728,0.6170212765957447,0.7341772151898734,0.5895476244570571,0.9012040753318925,0.760647375361688
