# {'solver': 'saga', 'n_jobs': -1, 'class_weight': 'balanced'},main_metric=f1
,penalty,C,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0,l2,0.37991998989846676,0.04083998148041531,0.01679252370590971,0.04238146981608562,0.8954941297695334,0.7852614896988906,0.5718799368088467,0.45707070707070707,0.7637130801687764,0.4662357891484935,0.8674776165483173,0.670255800025948
1,l2,2.405534490961533,0.0011336917222823763,0.027485873808954408,0.0014338957671476363,0.9169246792841002,0.8248811410459588,0.5944954128440368,0.525974025974026,0.6835443037974683,0.49200365756951403,0.8568200061747453,0.6359464321707416
2,l2,2.9184520693102733,0.04276140769324139,0.028678269503490995,0.033443628752773034,0.8026075141283304,0.7931854199683043,0.5823999999999999,0.4690721649484536,0.7679324894514767,0.4798600071681412,0.8717093753216014,0.6787221370386224
3,l1,3.220246298132213,0.025044321187382184,0.01820501586620368,0.01867159418367105,0.938989558857101,0.7955625990491284,0.5825242718446602,0.47244094488188976,0.759493670886076,0.4792912578432668,0.8712277451888444,0.6798967865925902
4,l1,1.7745144031686781,0.04800303800610569,0.030302978003445225,0.018177918544361963,0.9441589510755196,0.7979397781299524,0.5867098865478119,0.4763157894736842,0.7637130801687764,0.4849027358837519,0.8736688278275186,0.6806905770409755
5,l1,1.8905518742644847,0.034888468325481564,0.008502313767372807,0.018239520591497967,0.8857788466552671,0.7923930269413629,0.5814696485623003,0.46786632390745503,0.7679324894514767,0.478692080405749,0.8751137182257898,0.6826168234268749
6,l2,2.202858982577066,0.03301109959762453,0.03663376489342586,0.02252599329098538,0.8138341900221581,0.7963549920760697,0.5861513687600645,0.4739583333333333,0.7679324894514767,0.4845653218774414,0.8729031594113409,0.6773725651400666
7,l1,2.7335677943759733,0.03350430620313661,0.006886366127747586,0.001332831721438155,0.8623340784779947,0.8296354992076069,0.6083788706739527,0.5352564102564102,0.7046413502109705,0.5098502511165882,0.8573839662447258,0.6427162687088361
8,l2,3.7111351807960706,0.02402730042464424,0.027148734007582255,0.04999076851155685,0.8445789157962464,0.783676703645008,0.5741029641185648,0.45544554455445546,0.7763713080168776,0.47025663813913204,0.8649665534630029,0.6647404125340777
9,l1,0.396562246907477,0.02228519863699142,0.02470347537295223,0.01392371596034708,0.8953336794215973,0.8066561014263075,0.5973597359735973,0.4905149051490515,0.7637130801687764,0.49825148384493384,0.879160234640321,0.6849924768265693
10,l1,1.0280641968903828,0.0325139609959605,0.011250178692524246,0.013639803648880669,0.8019771744876099,0.8090332805071315,0.5963149078726968,0.49444444444444446,0.7510548523206751,0.4960327734560545,0.8743727487907791,0.6740303440934113
11,l2,3.120952933256824,0.0021384322018014605,0.014491891739026033,0.01653241986894953,0.9458380965776908,0.7995245641838352,0.5831960461285008,0.4783783783783784,0.7468354430379747,0.4791916516617357,0.8738705361737161,0.6796781167656615
12,l2,1.9059739085287701,0.0038372056463794,0.03911141100687465,0.007133580646400834,0.9765335733732433,0.8114104595879557,0.5924657534246576,0.49855907780979825,0.729957805907173,0.490010346453552,0.8655510960172893,0.6443935668228857
13,l1,3.0597553117314034,0.011591757368174334,0.0044623886858978674,0.023382520030652297,0.8153665934016893,0.7987321711568938,0.5863192182410424,0.47745358090185674,0.759493670886076,0.48406699018432614,0.8752413296284863,0.6727151194847214
14,l1,3.479309526514797,0.049003422110476175,0.022122109024896447,0.027354680681403433,0.9054532754986531,0.7987321711568938,0.5903225806451613,0.47780678851174935,0.7721518987341772,0.4901631231966744,0.8710672018112586,0.6692379048510384
15,l2,0.41751865045724057,0.008481658721321774,0.028798155283777584,0.04256302662396653,0.814934792253172,0.7868462757527733,0.5750394944707741,0.4595959595959596,0.7679324894514767,0.47060815717929827,0.8658310178038491,0.6682223403185061
16,l2,2.3719254713865694,0.039053835500167264,0.032280706090631765,0.03930831167259621,0.8722694364269266,0.786053882725832,0.5754716981132075,0.45864661654135336,0.7721518987341772,0.47155492812161687,0.86583513430071,0.6702564096350414
17,l1,1.4365634543508468,0.04790423859193005,0.010181490692613905,0.039391020252915604,0.9009126389122053,0.7797147385103012,0.5628930817610063,0.44862155388471175,0.7552742616033755,0.4541010718700465,0.8650571163939487,0.6705307633409233
18,l2,1.4611134913034614,0.02204810751743153,0.04193343762662943,0.009732579266500814,0.8631749786640519,0.8042789223454834,0.5944170771756979,0.48655913978494625,0.7637130801687764,0.4945669182015555,0.8689430894308944,0.6642471758608376
19,l2,1.1506019539979093,0.03278061722706816,0.04747551001504467,0.012992141687224176,0.8340117624237772,0.803486529318542,0.5866666666666667,0.48484848484848486,0.7426160337552743,0.4833127230739168,0.8752907275908204,0.6817716579614547
