# {'class_weight': 'balanced'},main_metric=f1
,C,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc
0,2.952119018000047,0.03988215103606619,0.04411453184066003,0.009644155350673096,0.8670750517704333,0.8748019017432647,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5895934959349594
1,2.1701706664722926,0.025173486949085944,0.013499639715177744,0.04580982681562936,0.8542879322398621,0.8660855784469097,0.6743737957610789,0.6205673758865248,0.7383966244725738,0.5944182602640724
2,2.228457714928089,0.03280161803955247,0.044541151354031805,0.04859116579238731,0.9399319640541344,0.8645007923930269,0.6679611650485437,0.6187050359712231,0.7257383966244726,0.5864520958498927
3,1.181722643531889,0.03952231216136576,0.007169765624429582,0.03609213290323984,0.9445490761411837,0.8454833597464342,0.6460980036297641,0.5668789808917197,0.7510548523206751,0.5586205101467072
4,0.9665826371077976,0.009536518032123327,0.0055871697613603735,0.00675916897998158,0.8901783840916527,0.8565768621236133,0.6616822429906541,0.5939597315436241,0.7468354430379747,0.5782195586087187
5,0.5819938599003688,0.0034755863842898423,0.04108141339938377,0.04597087264523894,0.8486949229652181,0.8264659270998416,0.6204506065857885,0.5264705882352941,0.7552742616033755,0.5265970081267091
6,3.3251370370502835,0.04060182431996443,0.03941921142300776,0.01795034664661475,0.8764061354860978,0.8748019017432647,0.6652542372881357,0.6680851063829787,0.6624472573839663,0.5882658769945188
7,2.697342912848621,0.029328170789047085,0.030965488394724915,0.02484480549760105,0.9638395792193133,0.8684627575277337,0.6639676113360323,0.6381322957198443,0.6919831223628692,0.5830994404314057
8,0.5829136579622036,0.039373919926383526,0.012276503388327855,0.022647238929614958,0.8104571059338741,0.8296354992076069,0.6194690265486725,0.5335365853658537,0.7383966244725738,0.5246089006127108
9,2.931012855886422,0.03792707525770031,0.04828761701314267,0.018350770581515224,0.9616379215223085,0.8708399366085579,0.6597077244258872,0.6528925619834711,0.6666666666666666,0.580059981115265
